DE;EN
Blasenentzündung 4;Cystitis 4
Blasenentzündung 5;Cystitis 5
Blasenentzündung 6;Cystitis 6
Zytomegallievirus;CytomegaloVirus
Cytomegalovirus 2;Cytomegalovirus 2
Zytomegalie Virus 4;CytomegaloVirus 4
Geschädigte Wirbelsäule;Damaged Spinal Column
Schuppen 1;Dandruff 1
Tiefe Reinigung;Deep Cleansing
Zentrum Schutz;Defense Centre
Schutzzentrum;Defense Centre
Zentrum-Abwehrsystem 2;Defense Centre 2
Schutz Zentrum 3;Defense Centre 3
Schutz Zentrum 4;Defense Centre 4
Schutzfunktionen;Defensive Functions
Degenerative Haut;Degenerative Skin
Entwässerung;Dehydration
Entwässerung des Organismus;Dehydration
Wahnvorstellungen;Delusion
Zähne-Frequenzen;Dental Frequencies
Zähne-Kiefer-Mund;Dentistry
Depression;Depression
Depressionen 1;Depression 1
Depression 1;Depression 1
Medikamentöse Depression;Depression caused by Medications
Infektion-Toxische Depression;Depression of Infectious Toxic Origin
Allergie-Haut;Dermal Allergy
Allergie-Haut 1;Dermal Allergy 1
Dermatitis;Dermatitis
Dermatologie;Dermatology
Dermatologie und Kosmetologie;Dermatology and Cosmetology
Scherpilzflechte;Dermatophytosis
Dermoidzyste;Dermoid Cyst
Urethritis Desquamativer;Desquamative Urethritis
Entgiftung Frequenzen;Detoxification
Entgiftung;Detoxification
Entgiftung nach einer Operation;Detoxification after Surgery
Diabetes 1;Diabetes 1
Diabetes 2;Diabetes 2
Diabetes 3;Diabetes 3
Diabetes 4;Diabetes 4
Diabetes 5;Diabetes 5
Diabetes 6;Diabetes 6
Diabetes Mellitus;Diabetes Mellitus
Diabetes 2;Diabetes Mellitus
Diabetischer Fuß;Diabetic Foot
Diabetiker-Geschwür;Diabetic Ulcers
Membran;Diaphragm
Durchfall;Diarrhea
Diastolischer Bluthochdruck;Diastolic Hypertension
Zwischenhirn-Syndrom;Diencephalic Syndrome
Verdauungszentrum;Digestion Centre
Verdauungsstörung;Digestive Disorders
Magen Enzyme;Digestive Enzymes
Zentrum für Verdauung 2;Digestive System Centre 2
Verdauungszentrum;Digestive System Centre 3
Zentrum Verdauung 3;Digestive System Centre-3
Verdauungstrakt;Digestive Tract
Diphtherie;Diphtheritis
Diptherinun;Diptherinun
Dysbakteriose;Disbacteriosis
Knochenhaut und Knochenerkrankungen;Disease of Bone and Periosteum
Bandscheiben-Degeneration;Disk Degeneration
Bandscheibenschäden;Disk-Damage
Bandscheibenregeneration;Disk-Regeneration
Bandscheibenverschleiß;Disk-Wear and Tear
Bandscheibenvorfall;Diskal Hernia
Verstauchung;Dislocation
Gestörter Blutfluss;Disorders of Blood Flow
Polypen Resorption;Dispertion of Polyps
Polypen Resorption 1;Dispertion of Polyps 1
Freudloser Zustand;Distress
Harntreibende Wirkung;Diuretic Action
Harntreibende Effekt;Diuretic Effect
Harntreibende Wirkung 1;Diuretic Effect 1
Harntreibende Wirkung 2;Diuretic Effect 2
Divertikulitis;Diverticulitis
Schwindel;Dizziness
Schwindel 1;Dizziness 1
Schwindel 2;Dizziness 2
Schwindel 3;Dizziness 3
Schwindel 4;Dizziness 4
DNA-Reparatur;DNA Restoration
Dopaminergene Wirkung;Dopaminergic Effect
Drainage;Drainage
Drainage 1;Drainage 1
Zentrum Träume;Dream Centre
Traumzentrum 1;Dream Centre 1
Traumzentrum 3;Dream Centre 3
Träume-Zentrum;Dreams Centre
Traumzentrum 2;Dreams Centre 2
Drogen/Medikamentenabhängigkeit;Drug Dependence
Trockener Husten;Dry Cough
Trockenes Ekzem;Dry Eczema
Trockene Haut;Dry Skin
Zwölffingerdarmgeschwür;Duodenal Ulcer
Chronische Zwölffingerdarmerkrankung 1;Duodenitis 1
Zwölffingerdarm;Duodenum
Zwölffingerdarmgeschwür;Duodenum Ulcer
Stauballergie;Dust Allergy
Dysmenorrhoe;Dymenorrhoea
Ataxophemia;Dysarthria
Pilz Dysbiose;Dysbiosis
Ruhr;Dysentery
Dishormonal vesiculo Prostatitis;Dyshormonal VesiculoProstatitis
Regelschmerzen;Dysmenorrhea
Dysmenorrhoe 1;Dysmenorrhea 1
Menstruationsschmerzen 1;Dysmenorrhea 1
Menstruationsschmerzen 2;Dysmenorrhea 2
Menstruationsschmerzen 3;Dysmenorrhea 3
Menstruationsschmerzen 4;Dysmenorrhea 4
Menstruationsschmerzen 5;Dysmenorrhea 5
Menstruationsschmerzen 6;Dysmenorrhea 6
Dysmenorrhoe und Blutungen;Dysmenorrhea and Bleeding
Darmpilz;Dyspepsia
Mycosis Ohr;Ear Mycosis
Ohrenschmerzen;Ear Pain
Ohrenschmerzen;Earache
Ohren;Ears
Ohren 2;Ears 2
Ohren Basisprogramm;Ears-Basic Programme
Fieber Ebola 1;Ebola Fever1
Fieber Ebola 2;Ebola Fever2
Echinococcus Bandwürmer;Echinococcus
Ekzem;Eczema
Ekzeme 2;Eczema 2
Ekzeme 3;Eczema 3
Ekzem-Herpes;Eczema-Herpes
Ödem 1;Edema 1
Ödem 2;Edema 2
Schwellung;Edemata
Ödem 1;Edemata 1
Ödem 2;Edemata 2
Schwellung 3;Edemata 3
Effekte;Effects
Ellbogen;Elbow
Ellbogen 1;Elbow 1
Ellbogen Gelenk;Elbow Joint
Schmerzen im Ellenbogen;Elbow Pain
EM-Therapie-Programme;Electromagnetic Therapy Programmes
Lymphödem;Elephntiasis
Ausleitung von Giftstoffen;Elimination of Toxins
Notfall-Behandlung;Emergency - Treatment
Erschöpfung;Emotional Exhaustion
Psychische Erschöpfung;Emotional Exhaustion
Inkontinenz;Emotional Expansivness
Lungenaufblähung;Emphysema
Entzündung der Bauchhöhle;Encelitis
Enzephalopathie;Encephalopathy
Endokarditis;Endocarditis
Endokrine Drüsen;Endocrine Glands
Kontrollfrequenz Drüsen;Endocrine Glands Control Frequencies
Stimulation der endokrinen Drüsen;Endocrine Glands Stimulation
Endokrines System;Endocrine Systems
Hormone;Endocrinology
Endokrinologie;Endocrinology
Endometriose;Endometreosis
Endometriose durch Darm-Virus;Endometreosis due to the Intestine Virus
Endometritis;Endometritis
Endomyocarditis;Endomyocardit
Endomyocarditis 2;Endomyocardit 2
Energie aufladen;Energey Charging
Energiefluss;Energy Flow
Energie Aufnahme;Energy Input
Energie Austritt;Energy Output
Energiespendend;Energy-Delivering
Energiespendende Wirkung;Energy-Delivering Effect
Schilddrüsenvergrößerung;Enlarged Thyroid Gland
Eileiter Vergrößerung;Enlargement of Fallopian Tubes
Darm Kopfschmerzen;Enteric Headache
Darm-Virus;Enteric Virus
Dünndarmentzündung;Enteritis
Enterococcinum;Enterococcinum
Enterokolitis;EnteroColitis
Entero Virus;EnteroVirus
Enuresis 2;Enuresis 2
Einnässen 3;Enuresis 3
Enuresis 4;Enuresis 4
Epidemische Parotitis 2;Epidemic Parotitis 2
Mumps-Impfstoff;Epidemic Parotitis Vaccine
Nebenhoden;Epididymis
Nebenhoden;Epididymite
Epilepsie;Epilepsy
Epilepsie 2;Epilepsy
Epileptischer Krampfanfall;Epileptic Seizure
Epileptische Anfälle;Epileptic Seizures
Epiphyse;Epiphysis
Epiphyse 2;Epiphysis 2
Epiphyse 3;Epiphysis 3
Epstein-Barr-Virus 2;Epstein-Barr Virus 2
Zentrum Gleichgewicht;Equilibrium Centre
Gleichgewichtzentrum 2;Equilibrium Centre 2
Zentrum Gleichgewicht-Balance 3;Equilibrium Centre 3
Gleichgewichtsstörungen 1;Equilibrium Disorders 1
Gleichgewichtsstörungen 2;Equilibrium Disorders 2
Erektile Dysfunktion;Erectile Dysfunction
Wundrose;Erysipelas
Wundrose-Entzündung;Erysipelas
Ekzeme;Erythema
Erythema nosodum;Erythema nosodum
Erythrozyten;Erythrocytes
Erythrozyten 2;Erythrocytes 2
Erythrozyten 3;Erythrocytes 3
Stimulation rote Blutkörperchen;Erythrocytes Formation Stimulation
Erythropenia;Erythropenia
Eritropeniya 2;Erythropenia 2
Speiseröhre;Esophagus
Speiseröhre 1;Esophagus 1
Speiseröhre Knorpel;Esophagus Cartilage
Speiseröhren Knorpel;Esophagus Cartilage
Speiseröhre Knorpel 1;Esophagus Cartilage 1
Hypertonische Krankheit;Essential Hypertension
Eustachischen Röhren;Eustachian Tubes
Eustachischen Röhren 1;Eustachian Tubes 1
Ohrtrompetenentzündung;Eustachitis
Verschlimmerung von Krampfadern;Exacerbation of Varicosis
Überschüssige Harnsäure;Excess of Uric Acid
Übermäßiger Haarwuchs;Excessive Hair Growth
Übermäßiges Schwitzen;Excessive Sweating
Schweres Schwitzen;Excessive Sweating
Starkes Schwitzen 2;Excessive Sweating 2
Externe Otitis;External Otitis
Mittelöhrentzündung;External Otitis
Augenmuskeln;Extraocular Muscles
Augenmuskel 1;Extraocular Muscles 1
Arrhythmie;Extrasystole
Estrasistoliya;Extrasystole
Augenermüdung;Eye Fatigue
Entzündungen der Augen 1;Eye Inflammation 1
Entzündungen der Augen 2;Eye Inflammation 2
Augenmuskel;Eye Muscles
Augen;Eyes
Augen 1;Eyes 1
Augensteuerung;Eyes Control
Augen-Frequenzsteuerung;Eyes-Control Frequencies
Gesichts-Reizung;Face-Irritation
Fazialisparese;Facial Nerve Paresis
Gesichtslähmung (Gesichtsnerv);Facial Paralysis
Eileiter;Fallopian Tubes
Eileiter 1;Fallopian Tubes 1
Fettablagerung;Fat Deposition
Fettgewebe;Fat Tissue
Müdigkeit;Fatigue
Ermüdung 3;Fatigue 3
Ermüdung 4;Fatigue 4
Müdigkeit nach dem Essen;Fatigue after Eating
Ermüdung nach dem Essen;Fatigue, Food
Angst;Fear
Angst 2;Fear 2
Angst 3;Fear 3
Zustand der Angst;Fear Feeling
Blasen an den Füßen;Feet Blisters
Fel Tauri;Fel Tauri
Katzenallergie;Feline Allergy
Katzen-Immunschwäche Virus;Feline ImmunoDeficiency Virus (FIV)
Katzenleukämie;Feline Leukemia
Frauen Urogenitalsystem;Female Genitourinary System
Lust Frau;Female Lust
Weibliches Fortpflanzungssystem;Female Reproductive System
Fortpflanzungssystem des weiblichen Hormonhaushalts;Female Reproductive System-Hormonal Balance
Weibliche rechte Niere;Female-Left Kindey
Frauen linken Niere;Female-Left Kindey
Weibliche linke Niere;Female-Right Kindey
Frauen rechte Niere;Female-Right Kindey1
Fieber-Hitze;Fever
Fieber;Fever
Fieber und Lymphe;Fever and Lyme
Fieber durch Sonnenstich;Fever Caused by Sun Stroke
Fibroadenom;Fibroadenoma
Weichteilrheumatismus;Fibromyalgia
Fibrosarkom;Fibrosarcoma
Fibrose allgemein;Fibrosis-General
Filariasis;Filariasis
Fingernägel;Fingernails
Fingernägel 1;Fingernails 1
Fingernägel 2;Fingernails 2
Fischpyrogen;Fischpyrogen
Fistel;Fistula
schlaffe Lähmung (AFP);Flaccid Paralysis
Plattfuß;Flat Foot
Blähungen 2;Flatulence
Blähungen 2;Flatulence 2
Flöhe;Fleas
Nosoden Grippe;Flu Nosode
Fluor Alb;Fluor Alb
Infektionsherd im Mund;Focal Infection in Oral Cavity
Fokale Infektion Mundhöhle;Focal Paradontosis
Angina Follikel;Follicular Tonsillitis
Mandelentzündung 2;Follicular tonsillitis
Lebensmittelallergie;Food Allergy
Lebensmittelvergiftung;Food Poisoning
Fußschwielen;Foot Callus
Fußpilz;Foot Fungus
Syndrom des Unterarms;Forearm Syndrome
Harnsäure-Bildung 1;Formation of Uric Acid 1
Frakturfusion;Fracture Fusion
Gelenke Frequenzen;Frequency of Joints
Frigidität;Frigidity
Frigidität 2;Frigidity 2
Stirnbein;Frontal Bone
Stirnkopfschmerzen;Frontal Headache
Stirnhöhle 1;Frontal Sinus 1
Stirnhöhle 2;Frontal Sinus 2
Vereiterung der Stirnhöhlen;Frontal Sinus Abscess
Frontale Nebenhöhlenentzündung;Frontal Sinusitis
Stirnhöhlenentzündung 1;Frontal Sinusitis 1
Stirnhöhlenentzündung 2;Frontal Sinusitis 2
Stirnhöhlenentzündung 3;Frontal Sinusitis 3
Frostbeule;Frostbite
Schultersteife;Frozen Shoulder
Frustration;Frustration
Pilzkrankheiten;Fungal Infections
Pilz Vaginose;Fungal Vaginosis
Pilze und Schimmel;Fungi and Mold
Basis Pilze;Fungi-Basic Programme
Pilze;Fungous Diseases
Entgiftung Pilze;Fungus Detoxification
Furunkel;Furuncle
Furunkulose;Furunculosis
Abschürfungen herpetiformis;Furunculosis Herpetiformis
Hautrisse;Fussures
Fibrozystische Brust;Fybrocystic Mastopathy
Gallenblase;Gall Bladder
Gallenblase 1;Gall Bladder 1
Erkrankung der Gallenblase;Gall Bladder Dystonia
Gallensteine;Gallstone Disease
Gallensteine 1;Gallstone1
Gallensteine 2;Gallstone2
Gallensteine 3;Gallstone3
Gallensteine 4;Gallstone4
Gallensteine 5;Gallstone5
Gallensteine 6;Gallstone6
Gallensteine;Gallstones
Wundbrand;Gangrene
Bakterielle Vaginales;Gardenerella Vaginalis
Magensäure;Gastric Acidity
Magengeschwür;Gastric Ulcer
Gastritis;Gastritis
Gastritis 1;Gastritis 1
Gastritis 2;Gastritis 2
Gastritis 3;Gastritis 3
Gastritis 4;Gastritis 4
Gastritis 5;Gastritis 5
Gastritis 6;Gastritis 6
Gastritis 7;Gastritis 7
Parasiten Magen-- Darm-Trakt;Gastro-Intestinal Tract Parasites
Gastroenterologie;Gastroenterology
Gastrogener Kopfschmerzen;Gastrogenic Headache
Grundprogramm-Gastrointestinaltraktes 1;Gastrointestinal Tract-Basic Programme 1
Grundprogramm-Gastrointestinaltraktes 2;Gastrointestinal Tract-Basic Programme 2
Magen-Darm-Steuerfrequenz;Gastrointestinal-Control Frequencies
Energie - Vitalisierung;General Energy, Vitalisation
Allgemein Energie aufladen;General Exercise
Allgemeine Müdigkeit;General Fatigue
Entzündung Allgemein;General Inflammation
Allgemeine Schmerzen;General Pain
Lungenentzündung allgemein;General Pneumonia
Lungenentzündung allgemein 5;General Pneumonia V
Genitaldrüsen;Genital Glands
Genitaldrüsen Frauen;Genital Glands-Female
Genitaldrüsen Männer;Genital Glands-Male
Genital Herpes;Genital Herpes
Urogenitale Erkrankung;Genitourinary Disease
Geotrihum Candida;Geotrichum Candidum
Regulierung des Magen-Darm-Trakt 1;GI Tract Regulation
Guardia;Giardia
Gilbert-Krankheit;Gilbert's Disease
Entzündung-Zahnfleisch;Gingivitis
Zahnfleischentzündung;Gingivitis
Zahnfleischentzündung-Mundfäule;Gingivitis-Stomatitis v
Regulierung des Magen-Darm-Traktes;GIT Regulation
Glaukom;Glaucoma
Glaukom;Glaucoma 1
Glaukom 2;Glaucoma 2
Gliokladim;Gliocladium
Glomerulonephritis;Glomerulonephritis
Entzündung des Kiefers;Gnathitis
Kropf;Goiter
Geschlechtsdrüse;Gonad
Gonorrhoe;Gonorrhea
Gicht;Gout
Gicht 1;Gout-1
Schmerzen Gicht;Gout-Pain
Granulome;Granuloma
Granulose Parodontitis;Granulomatous Periodontitis
Fettige Haut;Greasy Skin
Grüne Augentierchen;Green Euglena
Grip.V75Victoria;Grip.V75Victoria
Grippe 86;Grippe 86 tri
Grippe 87;Grippe 87
Grippe 89;Grippe 89
Grippe 90;Grippe 90
Grippe A-Port;Grippe A Port
Asia Grippe;Grippe Asian A
Britische Grippe;Grippe British
Hongkong Grippe;Grippe Hong Kong
Spanische Grippe;Grippe Spanish
Grippe V;Grippe V
Grippe V-2;Grippe V-2
Grippe V-3;Grippe V-3
Grippe V-4;Grippe V-4
Grippe V-5;Grippe V-5
Grippe VA 2-L;Grippe VA 2-L
Grippe VA-2;Grippe VA-2
Grippe vapch;Grippe Vapch
Grippe-Virus A;Grippe Virus A
Griseofulvin;Griseofulvin
Leistenbruch;Groin Hernia
Darm-Geschwür 2;Gut Ulcer
Ulkus Geschwür 2;Gut Ulcer 2
Gynäkologie;Gynecology
Haemophilus inf;Haemophilus Inf
Haemophilus InfB;Haemophilus InfB
Hämophilie Grippe;Haemophilus Influenzae
Haar;Hair
Haar Regulierung;Hair Control
Verfärbungen;Hair Discoloration
Haarwachstum;Hair Growth
Stimulation von Haarwachstum;Hair Growth Stimulation
Haarausfall;Hair Loss
Haar-Regeneration;Hair Regeneration
Haarwurzeln;Hair Roots
Haar Regulierung;Hair, Regulation
Haarwurzeln;Hair, Roots
Mundgeruch;Halitosis
Halluzinationen;Hallucinations
Hashimoto;Hashimoto's Thyroiditis
Heubazillus;Hay Bacillus
Kopfhaut;Head Skin
Kopfhaut 1;Head Skin 1
Kopfschmerzen;Headache
Kopfschmerz 1;Headache 1
Kopfschmerzen nach Hirnschädigung;Headache after Traumatic Brain Injury
Kopfschmerzen bei Arachnoiditis;Headache and Arachnoidite
Kopfschmerzen und Gallen Dyskinesie;Headache and Biliary DySkinesia
Endokrine Kopfschmerzen;Headache and Endocrine Symptoms
Kopfschmerzen mit Darmfunktionsstörung 1;Headache and Intestinal Dysfunction
Kopfschmerzen von degenerativen Bandscheibenerkrankungen;Headache and Osteochondrosis
Kopfschmerzen bei Eierstock-Erkrankung;Headache and Ovarian Dysfunction
Kopfschmerzen bei Eierstockunterfunktion;Headache and Ovarian Hypofunction
Urogenitale Kopfschmerzen;Headache and Urogenital Disorder
Kopfschmerz Eierstockfunktion;Headache Associated with Ovarian Functionality
Kopfschmerzzentrum;Headache Centres
Kopfschmerzen Frequenzsteuerung 1;Headache Control Frequencies 1
Kopfschmerzen Frequenzsteuerung 2;Headache Control Frequencies 2
Parasitäre Kopfschmerzen;Headache due to Parasitic Infection
Kopfschmerzen durch Funktionsstörungen des Magens;Headache due to Stomach Dysfunction
Kopfschmerzen Toxischen Ursprungs;Headache due to Toxic Genesis
Urogenitale Kopfschmerzen;Headache due to Urogenital Disorder
Kopfschmerzen unbekannter Herkunft;Headache of Unknown Origin
Kopfschmerz-Komplex;Headache-Integrated
Kopfschmerzen-Migräne;Headache-Migraine
Kopfschmerzen;Headaches
Heilzentrum 2;Healing Centre 2
Heilzentrum 3;Healing Centre 3
Heilzentrum 4;Healing Centre 4
Gehörzentrum 4;Hearing Centre
Gehör Zentrum 2;Hearing Centre 2
Hörzentrum 3;Hearing Centre 3
Zentrum Gehör 4;Hearing Centre 4
Hörstörungen;Hearing Disorder
Hörstörung;Hearing Disorder
Hör-Frequenzen;Hearing Frequencies
Schwerhörigkeit;Hearing Loss
Hörverlust 2;Hearing Loss 2
Gehörverlust 3;Hearing Loss 3
Neuritis des Hörnervs;Hearing Nerve Neuritis
Gehörorgane/Hören;Hearing Organs
Herz;Heart
Herz 2;Heart 2
Aktivierung des Herzens;Heart Activation
Herz und Kreislauf;Heart and Circulation
Herz-Arterien;Heart Arteries
Herzinfarkt;Heart Attack
Herzinfarkt 1;Heart Attack 1
Herzkreislauf;Heart Blood Circulation
Kreislauf/Blut-Zirkulation des Herzens 1;Heart Blood Circulation 1
Herz Zentrum;Heart Centre
Herzzentrum 1;Heart Centre 1
Zentrum Herz 2;Heart Centre 2
Herzzentrum 2;Heart Centre 2
Herzzentrum 3;Heart Centre 3
Herzzentrum 4;Heart Centre 4
Herzrhythmus;Heart Rate
Regelung des Herzens;Heart Regulation
Regulierung des Herzen 1;Heart Regulation 1
Herzscheidewand;Heart Septum
Herz Perfusion 2;Heart Supply 2
Einengendes Herzen;Heart Tightness
Oppression-Herz;Heart Tightness
Herz links;Heart, Left
Herzmuskel;Heart, Myocard
Herzmuskel 2;Heart, Myocard 2
Herz links;Heart, on the Left
Herz rechts;Heart, on the Right
Herz rechts;Heart, Right
Herzscheidewand;Heart, Septum
Herz Stenose;Heart, Stenosis
Herz Venen 1;Heart, Veins
Herz Venen 2;Heart, Veins 2
Herzkammern;Heart, Ventricles
Herz Blutgefäße;Heart, Vessels
Herz Kreislauf 1;Heart-Blood Circulation
Herz Kreislauf 2;Heart-Blood Supply
Herz Regulierung;Heart-Regulation
Sodbrennen;Heartburn
Sodbrennen 1;Heartburn 1
Hitze und Kälte;Heat and Cold
Wärme-Kälte 2;Heat and Cold 2
Wärme-Kälte 3;Heat and Cold 3
Hitze und Kälte 4;Heat and Cold 4
Hitze und Kälte 5;Heat and Cold 5
Wärmebilanz;Heat Balance
Wärme-Gleichgewicht;Heat Balance
Wärmebilanz 2;Heat Balance 2
Schwere in den Beinen;Heaviness in Legs
Helicobacter Pylori;Helicobacter Pylori
Helicobacter Pylori 2;Helicobacter Pylori 2
Helicobacter Pylori 3;Helicobacter Pylori 3
Würmer;Helminth
Würmer;Helminth Diseases
Wurmeier;Helminth Eggs
Hämatologie;Hematology
Hämatologie und Immunologie;Hematology and Immunology
Hämatom;Hematoma
Hämatom 1;Hematoma 1
Hämatom 2;Hematoma 2
Hemicrania;Hemicrania
Hemobakterie felis;Hemobartonella Felis
Blutverdünnung;Hemodilution
Blutverdünnung 1;Hemodilution 1
Blutverdünnung 2;Hemodilution 2
Blutverdünnung 3;Hemodilution 3
Blutung;Hemorrhage
Blutung;Hemorrhaging
Hämorrhoiden;Hemorrhoid
Hämorrhoiden 1;Hemorrhoid 1
Hämorrhoiden-Knoten;Hemorrhoidal Nodes
Hämorrhoiden-Knoten 1;Hemorrhoidal Nodes 1
Hemostatic;Hemostatic
Leber Kopfschmerzen;Hepatic Headache
Cholestase;Hepatic Secretory Obstruction
Hepatitis;Hepatitis
Hepatitis A;Hepatitis A
Hepatitis B;Hepatitis B
Hepatitis B 1;Hepatitis B 1
Hepatitis C1;Hepatitis C1
Hepatitis C2;Hepatitis C2
Hepatitis C3;Hepatitis C3
Hepatitis C4;Hepatitis C4
Neue Hepatitis;Hepatitis New Nos
Hepatitis-Cholangitis;Hepatitis-Cholangitis
Hepatitis-Zirrhose;Hepatitis-Cirrhosis
Leber-und Gallenkopfschmerz;Hepatobiliary Headache
Leber und Gallensystem;Hepatobiliary System
Hepatocholecystitis;Hepatocholecystitis
Hepatogenic;Hepatogenic
Hepatologie;Hepatology
Hepatomegalie;Hepatomegalia
Lebertoxisches Syndrom;Hepatotoxic Syndrome
Bruch;Hernia
Bandscheibenbruch;Hernia of the Intervertebral Disk
Herpes TR;Herpes TR
Herpes Typ 1-2;Herpes Type 1,2
Herpes Typ 6-1;Herpes Type 6-1
Herpes Zoster;Herpes Zoster
Herpes Zoster 1;Herpes Zoster 1
Herpes Zoster 2;Herpes Zoster 2
Herpes Zoster 3;Herpes Zoster 3
Herpes Zoster v;Herpes Zoster v
Herpes Zoster-Gürtelrose;Herpes Zoster! Or Shingles
Herpes Typ 1;Herpes-Type 1
Herpes Typ 2com;Herpes-Type 2 com
Herpes Typ 2A;Herpes-Type 2A
Herpes Typ 5;Herpes-Type 5
Herpes Typ 6;Herpes-Type 6
Herpes Typ 8;Herpes-Type 8
Herpes Typ C;Herpes-Type C
Herpes Furunkulose;Herpetic Furunculosis
Herpes Simplex;Herpetic Simplex
Herpes Simplex I;Herpetic SimplexI
Herpes Simplex 1;Herpetic SimplexI 1
Herpes Simplex 2;Herpetic SimplexI 2
Herpes Simplex 3;Herpetic SimplexI 3
Herpes Simplex 4;Herpetic SimplexI 4
Herpes Simplex ex;Herpetic SimplexI ex
Herpes Simplex II;Herpetic SimplexII
Herpes Simplex IU2;Herpetic SimplexIU 2
Herpes Simplex RTI;Herpetic SimplexRTI
Herpes Stomatitis;Herpetic Stomatitis
Schluckauf;Hiccup
Schluckauf 1;Hiccup 1
Schluckauf 2;Hiccup 2
Schluckauf 3;Hiccup 3
Hohes Fieber;High Fever
Arthrose des Hüftgelenks;Hip Arthritis
Hüftschmerzen;Hip Pain
Hirudo Heil;Hirudo Medicinal
Histoplasma;Histoplasma
Heiserkeit;Hoarseness
Homöopathie Frequenzen;Homeopathic Medicine Dosing Frequency
Hormonelle Kopfschmerzen;Hormonal Headache
Weiblicher Hormonhaushalt;Hormone Balance-Female
Männlicher Hormonhaushalt;Hormone Balance-Male
Hitzewallungen in den Wechseljahren;Hot Flashes
Hitzewallungen;Hot Flushes
Hitzewallungen 1;Hot Flushes 1
Dumpfer Lärm;Hum
Menschenliebe;Humanitarianism
Wassersucht;Hydrops
Hypercholesterinämie;Hypercholesteremia
Hyperglykämische Wirkung;Hyperglycemic Effect
Hornhaut;Hyperkeratosis
Hyperkinetische Galle;Hyperkinetic Biliary DySkinesia
Hyperlipidämie;Hyperlipidemia
Hypermenorrhoea;Hypermenorrhea
Weitsichtigkeit;Hyperopia
Hyperopie-Weitsichtigkeit;Hyperopia
Hyperopie 1;Hyperopia 1
Hyperphrenie;Hyperphrenia
Psychische Aufregung;Hyperphrenia
Überempfindlichkeit;Hypersensitivity
Hypersensibel;Hypersensitivity
Überempfindliche Zonen;Hypersensitivity of Zones
Überempfindliche Nerven;Hypersnsitivity of Nerves
Überempfindlich Zonen;Hypersnsitivity of Zones
Hypertonie / Bluthochdruck;Hypertension
Hypertonie;Hypertension
Hypertonie 1;Hypertension 1
Hypertonie 2;Hypertension 2
Hypertonie 3;Hypertension 3
Hypertonie 4;Hypertension 4
Hypertonie 5;Hypertension 5
Hypertonie 6;Hypertension 6
Bluthochdruck Atherosklerose;Hypertensive Arterio-Sclerosis
Reduzierte Magensäure;Hypoacidity
Übersäuerung;Hypoacidity
Hypoglykämie-Steuerfrequenz 1;Hypoglycaemia-cf1
Hypoglykämie-Steuerfrequenz 2;Hypoglycaemia-cf2
Hypoglykämie-Steuerfrequenz 3;Hypoglycaemia-cf3
Hypoglykämie-Steuerfrequenz 4;Hypoglycaemia-cf4
Zuckerreduktion;Hypoglycemia
Niedriger Blutzucker;Hypoglycemia
Blutzuckersenkende Wirkung;Hypoglycemic Effect
Hypoplasie der Brustdrüsen;Hypomastia
Hypermotorische Dyskinesie;Hypomotoric DySkinesia
Blutdrucksenkende Wirkung;Hypotensive Effect
Hypothalamus;Hypothalamus
Hypothalamus 1;Hypothalamus 1
Hypothalamus-Hypophyse;Hypothalamus-Pituitary Gland
Hypothyreose;Hypotheriosis
Unterkühlung;Hypothermia
Körperunterkühlung;Hypothermia of the Body
Hypothermie-Grippe;Hypothermia-Influenza
Hypotonie;Hypotonia
Hypotonie 1;Hypotonia 1
Hysterie-Syndrom;Hysteric Syndrom
Verletzungen aller Art;Iinjuries
Immunsystem;Immune System
Immunsystem 1;Immune System 1
Stabilisierung des Immunsystems;Immune System Stabilisation
Stabilisierung des Immunsystems;Immune System Stabilization
Stimulation des Immunsystems 1;Immune System Stabilization 1
Stimulation des Immunsystems 2;Immune System Stabilization 2
Immunsuppressiva;Immunodepressant
Immunsuppressive Wirkung;Immunodepressive Effect
Immunologie;Immunology
Immunstimulierende Wirkung;Immunostimulating Effect
Durchblutungsstörungen;Impaired Circulation
Impotenz;Impotence
Impotenz 1;Impotence 1
Schnittwunde;Incised Wound
Schneidezähne Entzündung;Incisor Abscess
Appetitsteigerung;Increase of Appetite
Gesteigerter Appetit;Increased Appetite
Gesteigerter Appetit 1;Increased Appetite 1
Verdauungsstörung;Indigestion
Zerebralparese;Infantile Cerebral Paralysis
Infektion;Infection
Mundhöhleninfektion;Infections of Oral Cavity
Pfeiffersches Drüsenfieber;Infectious Mononucleosis
Infektion-Prostatitis;Infectious Prostatitis
Infektionen;Infectiuos Diseases
Infektion der Leber;Infectiuos Liver Lesion
Unfruchtbarkeit;Infertility
Unfruchtbarkeit 1;Infertility 1
Entzündung der Zahnwurzel;Inflamed Tooth Root
Entzündungen;Inflammation
Zahnfleisch Entzündung;Inflammation
Entzündung;Inflammation
Entzündung 1;Inflammation 1
Entzündung 2;Inflammation 2
Darmentzündung;Inflammation of Intestine
Entzündung des Urogenitaltraktes;Inflammation of the Genitourinary Tract
Gebärmutter Entzündung;Inflammation of the Uterus
Venenentzündung;Inflammation of Vein
Entzündung / Schwellung;Inflammation/Edema
Schnupfen mit Entzündung der Schleimhäute;Inflammatory Rhinitis
Grippe;Influenza
Influenza (Fieber) v;Influenza (Fever) v
